,BA.1,BA.2,BA.2.75,BA.5,BQ.1.1,D614G,XBB
Seq28,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq29,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq30,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq31,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq32,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq33,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq34,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq35,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq36,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq37,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq38,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq39,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq40,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq41,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq42,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq43,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq44,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq45,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq46,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq47,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq48,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq49,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq50,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq51,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq52,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq53,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq54,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq55,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq56,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq57,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq58,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq59,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq60,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq61,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq62,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq63,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq64,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq65,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq66,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq67,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
